Id,LotArea,Street,Utilities,LotConfig,Neighborhood,HouseStyle,YearBuilt,RoofStyle,GrLivArea,SaleType,SaleCondition,SalePrice
144,10335,Pave,AllPub,Inside,CollgCr,1Story,1999,Gable,1501,WD,Normal,204000
146,2522,Pave,AllPub,Inside,Edwards,2Story,2004,Gable,1709,WD,Normal,130000
147,6120,Pave,AllPub,Corner,BrkSide,1Story,1931,Gable,875,WD,Normal,105000
148,9505,Pave,AllPub,CulDSac,Gilbert,2Story,2001,Gable,2035,WD,Normal,222500
149,7500,Pave,AllPub,Inside,SawyerW,1Story,2004,Gable,1080,WD,Normal,141000
151,10356,Pave,AllPub,Corner,CollgCr,1Story,1975,Gable,969,WD,Normal,122000
152,13891,Pave,AllPub,Inside,NridgHt,1Story,2007,Hip,1710,New,Partial,372402
153,14803,Pave,AllPub,CulDSac,NWAmes,2Story,1971,Gable,1993,WD,Normal,190000
154,13500,Pave,AllPub,Inside,ClearCr,1Story,1960,Flat,1252,WD,Normal,235000
157,7200,Pave,AllPub,Inside,NAmes,1Story,1950,Hip,1040,WD,Normal,109500
158,12003,Pave,AllPub,Corner,Timber,2Story,2009,Gable,1968,New,Partial,269500
159,12552,Pave,AllPub,Corner,Somerst,2Story,2004,Gable,1947,WD,Normal,254900
160,19378,Pave,AllPub,Corner,Gilbert,2Story,2005,Gable,2462,New,Partial,320000
161,11120,Pave,AllPub,CulDSac,Veenker,1Story,1984,Gable,1232,WD,Normal,162500
162,13688,Pave,AllPub,Inside,NridgHt,2Story,2003,Gable,2668,WD,Normal,412500
163,12182,Pave,AllPub,Corner,NridgHt,1Story,2005,Gable,1541,New,Partial,220000
164,5500,Pave,AllPub,Inside,OldTown,1.5Unf,1956,Gable,882,WD,Normal,103200
165,5400,Pave,AllPub,Corner,OldTown,1Story,1926,Gable,1616,WD,Normal,152000
166,10106,Pave,AllPub,Inside,Edwards,1.5Fin,1940,Gable,1355,WD,Normal,127500
169,8244,Pave,AllPub,Inside,Gilbert,2Story,2004,Gable,1720,WD,Normal,183500
170,16669,Pave,AllPub,Corner,Timber,1Story,1981,Hip,1707,WD,Normal,228000
171,12358,Pave,AllPub,Inside,OldTown,1.5Fin,1941,Gable,1382,WD,Normal,128500
172,31770,Pave,AllPub,Corner,NAmes,1Story,1960,Hip,1656,WD,Normal,215000
178,13650,Pave,AllPub,Inside,Sawyer,1.5Fin,1958,Gable,1920,WD,Normal,172500
179,17423,Pave,AllPub,CulDSac,StoneBr,1Story,2008,Hip,2234,New,Partial,501837
180,8520,Pave,AllPub,Inside,OldTown,1Story,1923,Gable,968,WD,Normal,100000
181,2117,Pave,AllPub,Inside,Somerst,2Story,2000,Gable,1525,WD,Normal,177000
184,11426,Pave,AllPub,Inside,OldTown,1.5Fin,2003,Gable,2082,WD,Normal,200000
185,7438,Pave,AllPub,Inside,BrkSide,1.5Fin,1908,Gable,1252,WD,Normal,127000
186,22950,Pave,AllPub,Inside,OldTown,2.5Fin,1892,Gable,3608,WD,Normal,475000
187,9947,Pave,AllPub,CulDSac,Mitchel,SLvl,1990,Gable,1217,WD,Normal,173000
188,10410,Pave,AllPub,Inside,OldTown,1.5Fin,1916,Gable,1656,WD,Normal,135000
190,4923,Pave,AllPub,Inside,StoneBr,1Story,2001,Gable,1593,WD,Normal,286000
191,10570,Pave,AllPub,Inside,Crawfor,2Story,1932,Hip,2727,WD,Normal,315000
194,2522,Pave,AllPub,Inside,Edwards,2Story,2004,Gable,1709,WD,Normal,130000
195,7180,Pave,AllPub,Inside,CollgCr,1Story,1972,Hip,864,WD,Normal,127000
197,9416,Pave,AllPub,Inside,Somerst,1Story,2007,Hip,1726,New,Partial,311872
198,25419,Pave,AllPub,Corner,NAmes,2Story,1918,Gable,3112,WD,Abnorml,235000
199,5520,Pave,AllPub,Corner,OldTown,2.5Fin,1912,Gable,2229,WD,Abnorml,104000
202,10125,Pave,AllPub,Inside,Mitchel,1Story,1977,Gable,1279,WD,Normal,171500
204,4438,Pave,AllPub,Inside,CollgCr,1Story,2004,Gable,848,WD,Normal,149000
207,13673,Pave,AllPub,CulDSac,Sawyer,1Story,1962,Gable,1696,WD,Normal,143900
208,12493,Pave,AllPub,Inside,NAmes,1Story,1960,Gable,1100,WD,Normal,141000
209,14364,Pave,AllPub,Inside,SawyerW,2Story,1988,Gable,2062,WD,Normal,277000
210,8250,Pave,AllPub,Inside,NAmes,1Story,1964,Hip,1092,WD,Normal,145000
214,13568,Pave,AllPub,CulDSac,CollgCr,1Story,1995,Gable,990,WD,Normal,156000
216,10011,Pave,AllPub,Inside,NAmes,1Story,1957,Gable,1236,WD,Normal,134450
217,8450,Pave,AllPub,Inside,CollgCr,1Story,2004,Gable,1436,WD,Normal,210000
219,15660,Pave,AllPub,Corner,Crawfor,1.5Fin,1939,Gable,1954,WD,Normal,311500
223,11475,Pave,AllPub,Inside,NWAmes,2Story,1975,Gable,1552,WD,Normal,179900
224,10500,Pave,AllPub,FR2,NAmes,1Story,1971,Gable,864,WD,Abnorml,97000
225,13472,Pave,AllPub,Inside,NridgHt,1Story,2003,Hip,2392,WD,Normal,386250
227,9950,Pave,AllPub,Inside,NoRidge,2Story,1995,Gable,2520,WD,Abnorml,290000
228,1869,Pave,AllPub,Inside,BrDale,2Story,1970,Gable,987,WD,Normal,106000
229,8521,Pave,AllPub,FR2,Sawyer,1Story,1967,Gable,912,WD,Normal,125000
230,3182,Pave,AllPub,Inside,Blmngtn,1Story,2005,Gable,1555,WD,Normal,192500
231,8760,Pave,AllPub,Inside,NAmes,1Story,1959,Hip,1194,WD,Normal,148000
232,15138,Pave,AllPub,Inside,NoRidge,2Story,1995,Gable,2794,WD,Normal,403000
233,1680,Pave,AllPub,Inside,BrDale,2Story,1972,Gable,987,WD,Normal,94500
234,10650,Pave,AllPub,Corner,CollgCr,1Story,1976,Gable,894,WD,Normal,128200
238,9453,Pave,AllPub,CulDSac,SawyerW,2Story,1993,Gable,1744,WD,Normal,194500
239,12030,Pave,AllPub,Inside,NridgHt,1Story,2007,Hip,1694,New,Partial,318000
240,8741,Pave,AllPub,Inside,Edwards,1.5Fin,1945,Gable,1487,WD,Normal,113000
241,9000,Pave,AllPub,Inside,Somerst,1Story,2008,Gable,1566,WD,Normal,262500
243,5000,Pave,AllPub,Corner,OldTown,1.5Fin,1900,Gable,1440,WD,Normal,79000
244,10762,Pave,AllPub,Corner,SawyerW,2Story,1980,Gable,1217,WD,Normal,120000
245,8880,Pave,AllPub,Inside,SawyerW,2Story,1994,Gable,2110,WD,Normal,205000
246,10400,Pave,AllPub,Inside,NWAmes,1Story,1988,Gable,1872,WD,Normal,241500
247,9142,Pave,AllPub,Inside,OldTown,2Story,1910,Gable,1928,WD,Normal,137000
248,11310,Pave,AllPub,Inside,NAmes,1Story,1954,Hip,1375,WD,Normal,140000
249,11317,Pave,AllPub,Inside,CollgCr,2Story,2003,Gable,1668,WD,Normal,180000
250,159000,Pave,AllPub,CulDSac,ClearCr,1.5Fin,1958,Gable,2144,WD,Normal,277000
253,8366,Pave,AllPub,Inside,SawyerW,2Story,2004,Gable,1640,WD,Normal,173000
255,8400,Pave,AllPub,Inside,NAmes,1Story,1957,Gable,1314,WD,Normal,145000
256,8738,Pave,AllPub,Inside,Gilbert,2Story,1999,Gable,2291,WD,Normal,230000
257,8791,Pave,AllPub,Inside,Somerst,2Story,2003,Gable,1728,WD,Normal,207500
258,8814,Pave,AllPub,Inside,CollgCr,1Story,2006,Gable,1604,WD,Abnorml,220000
261,19296,Pave,AllPub,Corner,NAmes,SLvl,1962,Gable,1382,WD,Normal,176000
262,9588,Pave,AllPub,Inside,CollgCr,2Story,2007,Gable,2574,New,Partial,276000
263,8471,Pave,AllPub,Corner,Sawyer,SLvl,1977,Gable,1212,WD,Normal,151000
264,5500,Pave,AllPub,Corner,OldTown,1.5Fin,1929,Gable,1316,WD,Normal,130000
265,5232,Pave,AllPub,Inside,OldTown,1Story,1925,Gable,764,WD,Normal,73000
267,11207,Pave,AllPub,FR2,Gilbert,2Story,1997,Gable,1511,WD,Normal,185000
268,8400,Pave,AllPub,Inside,SWISU,2.5Fin,1939,Gable,2192,WD,Normal,179500
269,6900,Pave,AllPub,Inside,IDOTRR,1Story,1940,Gable,778,WD,Normal,120500
270,7917,Pave,AllPub,Corner,Edwards,1Story,1976,Hip,1113,WD,Normal,148000
272,39104,Pave,AllPub,CulDSac,ClearCr,1Story,1954,Flat,1363,WD,Normal,241500
273,11764,Pave,AllPub,CulDSac,NoRidge,2Story,1999,Gable,2270,WD,Normal,290000
275,8314,Pave,AllPub,Corner,Mitchel,1Story,1982,Gable,816,WD,Normal,124500
276,7264,Pave,AllPub,Inside,BrkSide,1.5Fin,1925,Gable,1548,WD,Normal,205000
277,9196,Pave,AllPub,Inside,Mitchel,1Story,2003,Gable,1560,WD,Normal,201000
279,14450,Pave,AllPub,Inside,NridgHt,1Story,2006,Gable,2121,New,Partial,415298
280,10005,Pave,AllPub,Inside,ClearCr,2Story,1977,Hip,2022,WD,Normal,192000
281,11287,Pave,AllPub,Inside,SawyerW,2Story,1989,Gable,1982,WD,Normal,228500
282,7200,Pave,AllPub,Inside,Somerst,1Story,2006,Gable,1262,New,Partial,185000
283,5063,Pave,AllPub,Inside,NridgHt,1Story,2007,Gable,1314,ConLw,Normal,207500
284,9612,Pave,AllPub,Inside,Somerst,1Story,2008,Gable,1468,New,Partial,244600
285,8012,Pave,AllPub,Inside,SawyerW,1Story,1992,Gable,1575,WD,Normal,179200
287,9786,Pave,AllPub,Inside,NAmes,1.5Fin,1962,Gable,1734,WD,Normal,159000
288,8125,Pave,AllPub,Corner,NAmes,1Story,1971,Gable,858,WD,Normal,88000
289,9819,Pave,AllPub,Inside,Sawyer,1Story,1967,Gable,900,WD,Normal,122000
291,15611,Pave,AllPub,Inside,CollgCr,2Story,2006,Gable,1919,New,Partial,233230
292,5687,Pave,AllPub,Inside,SWISU,2Story,1912,Gable,1716,WD,Normal,135900
293,11409,Pave,AllPub,Inside,Edwards,1.5Fin,1949,Gable,1716,WD,Normal,131000
294,16659,Pave,AllPub,Corner,NWAmes,2Story,1977,Gable,2263,WD,Normal,235000
295,9600,Pave,AllPub,Inside,NAmes,1Story,1953,Hip,1644,WD,Normal,167000
296,7937,Pave,AllPub,CulDSac,Mitchel,SLvl,1984,Gable,1003,WD,Normal,142500
297,13710,Pave,AllPub,Inside,IDOTRR,1.5Fin,1950,Gable,1558,WD,Normal,152000
299,11700,Pave,AllPub,Inside,NWAmes,2Story,1968,Mansard,1743,WD,Normal,175000
300,14000,Pave,AllPub,Inside,Crawfor,1Story,1950,Gable,1152,WD,Family,158500
301,15750,Pave,AllPub,Corner,Crawfor,1Story,1953,Hip,1336,WD,Normal,157000
304,9800,Pave,AllPub,Corner,CollgCr,1Story,1972,Gable,894,WD,Abnorml,149900
305,18386,Pave,AllPub,Inside,OldTown,2.5Fin,1880,Gable,3493,WD,Normal,295000
306,10386,Pave,AllPub,Inside,CollgCr,1Story,2004,Gable,2000,WD,Normal,305900
307,13474,Pave,AllPub,Inside,SawyerW,2Story,1990,Gable,2243,WD,Normal,225000
308,7920,Pave,AllPub,Inside,IDOTRR,1.5Fin,1920,Gable,1406,WD,Normal,89500
309,12342,Pave,AllPub,Inside,Edwards,1Story,1940,Gable,861,WD,Normal,82500
311,7685,Pave,AllPub,Inside,Gilbert,2Story,1993,Gable,1501,WD,Normal,165600
312,8000,Pave,AllPub,Inside,NAmes,1Story,1948,Gable,972,WD,Normal,132000
314,215245,Pave,AllPub,Inside,Timber,1Story,1965,Hip,2036,WD,Normal,375000
319,9900,Pave,AllPub,Inside,NoRidge,2Story,1993,Gable,2646,WD,Normal,260000
321,16259,Pave,AllPub,Corner,NridgHt,2Story,2006,Gable,2596,New,Partial,342643
322,12099,Pave,AllPub,Inside,NridgHt,2Story,2004,Gable,2468,WD,Normal,354000
324,5820,Pave,AllPub,Inside,OldTown,1Story,1955,Gable,1163,WD,Normal,126175
325,11275,Pave,AllPub,Corner,NAmes,SLvl,1967,Mansard,2978,WD,Normal,242000
326,5000,Pave,AllPub,Inside,IDOTRR,1.5Unf,1941,Gable,803,WD,Normal,87000
327,10846,Pave,AllPub,CulDSac,Veenker,1Story,1993,Gable,1719,Con,Normal,324000
328,11600,Pave,AllPub,Inside,NAmes,1Story,1960,Hip,1383,WD,Normal,145250
329,11888,Pave,AllPub,Inside,BrkSide,2.5Unf,1916,Gable,2134,WD,Normal,214500
330,6402,Pave,AllPub,Corner,IDOTRR,2Story,1920,Gable,1192,WD,Normal,78000
331,10624,Pave,AllPub,Inside,NAmes,1Story,1964,Gable,1728,WD,Normal,119000
332,8176,Pave,AllPub,Inside,NAmes,1Story,1958,Gable,1056,WD,Normal,139000
334,8198,Pave,AllPub,FR3,NridgHt,1Story,2004,Gable,1358,WD,Normal,207000
335,9042,Pave,AllPub,Inside,Gilbert,2Story,1998,Gable,1638,WD,Normal,192000
336,164660,Grvl,AllPub,Corner,Timber,1.5Fin,1965,Gable,1786,WD,Normal,228950
337,14157,Pave,AllPub,Corner,StoneBr,1Story,2005,Hip,1922,WD,Normal,377426
339,14145,Pave,AllPub,Corner,NWAmes,1Story,1984,Gable,1621,WD,Normal,202500
340,12400,Pave,AllPub,Inside,NAmes,1Story,1958,Hip,1215,WD,Normal,155000
341,14191,Pave,AllPub,Inside,Timber,2Story,2002,Gable,1908,WD,Normal,202900
342,8400,Pave,AllPub,Inside,SawyerW,1Story,1950,Gable,841,WD,Normal,82000
344,8849,Pave,AllPub,Inside,NridgHt,1Story,2005,Hip,1684,WD,Normal,266000
345,2592,Pave,AllPub,Inside,MeadowV,2Story,1976,Gable,1112,WD,Normal,85000
346,6435,Pave,AllPub,Inside,BrkSide,1.5Fin,1939,Gable,1577,WD,Normal,140200
349,2448,Pave,AllPub,Inside,NridgHt,2Story,2003,Gable,1626,WD,Normal,154000
352,5271,Pave,AllPub,Inside,ClearCr,1Story,1986,Gable,1453,WD,Abnorml,190000
353,9084,Pave,AllPub,Inside,Edwards,1.5Fin,1941,Gable,1111,ConLw,Normal,95000
354,8520,Pave,AllPub,Inside,OldTown,1Story,1928,Gable,720,WD,Normal,105900
355,8400,Pave,AllPub,Inside,SWISU,1.5Fin,1940,Gable,1595,WD,Normal,140000
356,11249,Pave,AllPub,Inside,CollgCr,1Story,1995,Gable,1200,WD,Normal,177500
357,9248,Pave,AllPub,Inside,Gilbert,1Story,1992,Gable,1167,WD,Normal,173000
359,6930,Pave,AllPub,Inside,ClearCr,SLvl,1958,Hip,1352,WD,Abnorml,130000
360,12011,Pave,AllPub,CulDSac,NoRidge,2Story,1998,Gable,1924,WD,Normal,280000
362,9144,Pave,AllPub,Inside,BrkSide,1.5Fin,1940,Gable,1505,WD,Normal,145000
363,7301,Pave,AllPub,Corner,Edwards,SFoyer,2003,Gable,1922,ConLD,Normal,198500
364,1680,Pave,AllPub,Inside,BrDale,2Story,1972,Gable,987,WD,Normal,118000
365,18800,Pave,AllPub,FR2,NWAmes,2Story,1976,Gable,1574,WD,Normal,190000
366,10690,Pave,AllPub,Inside,IDOTRR,2Story,1920,Hip,1344,WD,Normal,147000
367,9500,Pave,AllPub,Inside,NAmes,1Story,1963,Gable,1394,WD,Normal,159000
370,9830,Pave,AllPub,Corner,NAmes,1Story,1959,Gable,1287,WD,Normal,162000
372,17120,Pave,AllPub,Inside,ClearCr,1.5Fin,1959,Gable,1588,WD,Normal,134432
373,7175,Pave,AllPub,Inside,SawyerW,1Story,1984,Gable,752,WD,Normal,125000
374,10634,Pave,AllPub,Inside,NAmes,1Story,1953,Gable,1319,WD,Normal,123000
375,8200,Pave,AllPub,Inside,CollgCr,2Story,2003,Gable,1928,WD,Normal,219500
376,10020,Pave,AllPub,Inside,Edwards,1Story,1922,Gable,904,WD,Normal,61000
378,11143,Pave,AllPub,Corner,Somerst,2Story,2004,Gable,2466,WD,Normal,340000
380,8123,Pave,AllPub,Inside,Gilbert,2Story,2000,Gable,1800,WD,Normal,179000
381,5000,Pave,AllPub,Inside,SWISU,1.5Fin,1924,Gable,1691,WD,Normal,127000
382,7200,Pave,AllPub,Inside,Somerst,1Story,2006,Gable,1301,New,Partial,187750
383,9245,Pave,AllPub,Inside,CollgCr,2Story,2006,Gable,1797,WD,Normal,213500
384,9000,Pave,AllPub,Corner,SawyerW,1.5Unf,1928,Gable,784,WD,Normal,76000
385,53107,Pave,AllPub,Corner,ClearCr,2Story,1992,Gable,1953,WD,Normal,240000
386,3182,Pave,AllPub,Inside,Blmngtn,1Story,2004,Gable,1269,WD,Normal,192000
389,9382,Pave,AllPub,CulDSac,CollgCr,1Story,1999,Gable,1479,WD,Normal,191000
390,12474,Pave,AllPub,Inside,NridgHt,2Story,2007,Gable,2332,New,Partial,426000
391,8405,Pave,AllPub,Inside,Edwards,1.5Fin,1900,Gable,1367,WD,Normal,119000
393,8339,Pave,AllPub,Inside,NAmes,1Story,1959,Gable,882,WD,Normal,106500
394,7446,Pave,AllPub,Corner,BrkSide,1Story,1941,Gable,788,WD,Abnorml,100000
395,10134,Pave,AllPub,Inside,OldTown,1.5Fin,1940,Gable,1034,WD,Normal,109000
397,7200,Pave,AllPub,Inside,CollgCr,1Story,1972,Hip,894,WD,Normal,123000
398,7590,Pave,AllPub,Inside,NAmes,2Story,1962,Gable,1812,WD,Normal,169500
399,8967,Pave,AllPub,Corner,IDOTRR,1Story,1920,Gable,1077,WD,Abnorml,67000
400,8125,Pave,AllPub,Inside,Somerst,2Story,2006,Gable,1550,WD,Normal,241000
402,8767,Pave,AllPub,Inside,CollgCr,1Story,2005,Gable,1310,New,Partial,164990
404,12090,Pave,AllPub,Corner,NoRidge,2Story,1998,Hip,2263,WD,Abnorml,258000
405,10364,Pave,AllPub,Inside,Gilbert,2Story,1995,Gable,1572,WD,Normal,168000
406,9991,Pave,AllPub,Corner,Sawyer,1Story,1976,Gable,1620,WD,Normal,150000
407,10480,Pave,AllPub,Inside,SWISU,1.5Fin,1936,Gable,1639,WD,Normal,115000
408,15576,Pave,AllPub,Inside,Crawfor,2Story,1915,Gable,1680,WD,Normal,177000
410,10800,Pave,AllPub,Inside,Somerst,2Story,2007,Gable,2078,New,Partial,339750
411,9571,Pave,AllPub,Inside,Edwards,1Story,1958,Gable,1276,COD,Abnorml,60000
412,34650,Pave,AllPub,Inside,Gilbert,1Story,1955,Hip,1056,WD,Normal,145000
413,4403,Pave,AllPub,Inside,Somerst,1Story,2009,Gable,1478,New,Partial,222000
